size,sorted,stable,timeTaken
10,true,false,8.7023E-5
10,true,false,2.71E-5
10,true,false,4.5589E-5
10,true,false,5.6654E-5
10,true,false,6.2874E-5
10,true,false,6.2874E-5
10,true,false,7.2249E-5
10,true,false,1.08167E-4
10,true,false,8.2306E-5
100,true,false,8.9561E-5
100,true,false,2.20686E-4
100,true,false,2.65841E-4
100,true,false,3.32734E-4
100,true,false,4.02449E-4
100,true,false,4.80721E-4
100,true,false,6.69741E-4
100,true,false,7.61909E-4
100,true,false,8.10979E-4
1000,true,false,8.32641E-4
1000,true,false,0.001629214
1000,true,false,0.002346167
1000,true,false,0.003235986
1000,true,false,0.004289423
1000,true,false,0.006366284
1000,true,false,0.00797917
1000,true,false,0.008980878
1000,true,false,0.010010752
10000,true,false,0.01078999
10000,true,false,0.016729845
10000,true,false,0.023189249
10000,true,false,0.030739926
10000,true,false,0.036642253
10000,true,false,0.04443542
10000,true,false,0.05178141
10000,true,false,0.058357622
10000,true,false,0.064255536
